排名,名称,追番人数
284,记录的地平线 圆桌崩坏,162.4万追番
285,碧蓝航线：微速前行！,161.2万追番
286,K RETURN OF KINGS,159.9万追番
287,Rewrite,158.2万追番
288,家庭教师HITMAN REBORN!,157.6万追番
289,刺客守则,157.3万追番
290,冰海战记,156.8万追番
291,薇薇 -萤石眼之歌-,156.6万追番
292,强风吹拂,156.4万追番
293,ISLAND,156.4万追番
294,斩服少女,156.3万追番
295,魔王勇者,155.3万追番
296,NEW GAME!,155万追番
297,无头骑士异闻录,155万追番
298,SSSS.电光机王,154.8万追番
299,灰与幻想的格林姆迦尔,154.5万追番
300,银魂 第二季,153.7万追番
301,命运之夜——天之杯：恶兆之花,153万追剧
302,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,152.2万追番
303,鬼灯的冷彻,152.1万追番
304,青春之旅,151.8万追番
305,银魂 第三季,151.5万追番
306,邻家索菲,151.4万追番
307,龙先生，想要买个家,150.6万追番
308,比宇宙更远的地方,149.1万追番
309,进化之实 踏上胜利的人生,148.9万追番
310,妖精森林的小不点,147.1万追番
311,DARKER THAN BLACK -黑之契约者-,147.1万追番
312,忧国的莫里亚蒂 后半,147万追番
313,川柳少女,146.7万追番
314,×××HOLiC,146.6万追番
315,散华礼弥,145.4万追番
316,变态王子与不笑猫,144.5万追番
317,现实主义勇者的王国再建记,144.1万追番
318,哆啦A梦：大雄的新恐龙,143.7万追剧
319,被神捡到的男人,143.3万追番
320,熊熊勇闯异世界,142.9万追番
321,爱吃拉面的小泉同学,141.8万追番
322,吹响吧！上低音号,141.4万追番
323,GAMERS电玩咖！,140.2万追番
324,鬼灯的冷彻 第二季,139.2万追番
325,弹丸论破3 -未来篇-,139.1万追番
326,刀剑乱舞-花丸-,138.3万追番
327,圣女魔力无所不能,138.1万追番
328,CLANNAD ～AFTER STORY～,137.2万追番
329,COP CRAFT,136.5万追番
330,一起一起这里那里,136.5万追番
331,伊甸星原 EDENS ZERO,135.3万追番
332,绯弹的亚里亚,135.3万追番
333,命运之夜??06版,133.6万追番
334,怪化猫,133.3万追番
335,女神异闻录5 动画版,132.3万追番
336,她和她的猫,131.9万追番
337,无限系统树,131.4万追番
338,来自风平浪静的明天,130.8万追番
339,八男？别闹了！,130.5万追番
340,不吉波普不笑,130万追番
341,热诚传说X,129.3万追番
342,赤发白雪姬 第一季,129.2万追番
343,记录的地平线,129.2万追番
344,超人高中生们即便在异世界也能从容生存！,129.1万追番
345,电波女与青春男,128.7万追番
346,通灵王,128.7万追番
347,3月的狮子,128.4万追番
348,时钟机关之星,128.2万追番
349,零之使魔,128万追番
350,佐贺偶像是传奇 卷土重来,128万追番
351,Free!-Road to the World-梦,127.3万追番
352,NARUTO to BORUTO THE LIVE 2019,127.2万追番
353,名侦探柯南 唐红的恋歌,127万追番
354,弹丸论破3 -绝望篇-,126.3万追番
355,ACCA13区监察课,126.2万追番
356,噬神者,126万追番
357,学战都市Asterisk 第二季,125.7万追番
358,幻想嘉年华,125.4万追番
359,灼眼的夏娜,125.1万追番
360,朝花夕誓,125万追剧
361,進擊的巨人 The Final Season（僅限港澳台地區）,124.9万追番
362,关于完全听不懂老公在说什么的事 第一季,124.6万追番
363,水果篮子 最终季,123.9万追番
364,欢迎光临樱兰高校,123.3万追番
365,Hand Shakers,122.9万追番
366,学园孤岛,121.8万追番
367,绝园的暴风雨,121.7万追番
368,不正经的魔术讲师与禁忌教典,121万追番
369,夏目友人帐 第二季,120.7万追番
370,只要贝尔哲布布大小姐喜欢就好,120.1万追番
371,星之梦～雪圈球～,119.9万追番
372,赛马娘 第二季,119.9万追番
373,雏子的笔记,118.6万追番
374,请问您今天要来点兔子吗？？,118.6万追番
375,索玛丽与森林之神,118.4万追番
376,魔法少女小圆 剧场版 [新篇] 叛逆的物语,118万追番
377,阴晴不定大哥哥,117.9万追番
378,花开伊吕波,117.8万追番
379,不存在的战区,117.4万追番
380,学园偶像?阳光!!,117.1万追番
381,俺物语！！,117.1万追番
382,只有我不存在的城市,117万追番
383,天狼 Sirius the Jaeger,116.5万追番
384,百武装战记,116.1万追番
385,我的妹妹不可能那么可爱 第二季,115.8万追番
386,LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,115.8万追番
387,哆啦A梦 第一季,115.2万追番
388,星之梦,115.1万追番
389,宝石商人理查德的谜鉴定,115万追番
390,Little Busters!,114.9万追番
391,多田君不恋爱,114.9万追番
392,DARLING in the FRANXX（僅限港澳台地區）,114.6万追番
393,UQ HOLDER！悠久持有者！,114.6万追番
394,刻刻,114.4万追番
395,一周的朋友。,113.5万追番
396,政宗君的复仇,113.5万追番
397,百炼霸王与圣约女武神,113.1万追番
398,天真与闪电,113.1万追番
399,猫咪日常,112.9万追番
400,白沙的水族馆,112.9万追番
401,虫师,112.9万追番
402,加速世界,112.8万追番
403,这爱情有点奇怪,112.7万追番
404,濑户的花嫁,112.5万追番
405,动物新世代 / BNA,111.5万追番
406,夏目友人帐 第三季,110.7万追番
407,少女编号,110.7万追番
408,夏目友人帐 第四季,109.5万追番
409,银仙,109万追番
410,Q版！黑色四叶草,109万追番
411,魔法少女小圆 剧场版 [前篇] 起始的物语,109万追番
412,水果篮子 第二季,108.8万追番
413,Rewrite 2nd Season,108万追番
414,恋爱小行星,107.7万追番
415,黑岩射手 / BLACK★ROCK SHOOTER,107.1万追番
416,Fate/stay night [Unlimited Blade Works] 特典,106.2万追番
417,恋爱随意链接,106.1万追番
418,剧场版 中二病也要谈恋爱！ -Take On Me-,106万追番
419,青之驱魔师,105.3万追番
420,天地创造设计部,105.3万追番
421,Free!,105万追番
422,迪迦奥特曼,104.9万追番
423,小桃小栗Love Love物语,104.9万追番
424,ReLIFE 完结篇,104.8万追番
425,魔法少女☆伊莉雅 2WEI!,104.3万追番
426,小魔女学园 TV版,104万追番
427,来自新世界,103.8万追番
428,魔笛MAGI,103.7万追番
429,萤火之森,103.6万追番
430,NEW GAME!!,103.5万追番
431,滑头鬼之孙,103.3万追番
432,黑白来看守所,103.1万追番
433,终物语,103万追番
434,刀剑神域：序列之争,103万追剧
435,敦君与女朋友,102.8万追番
436,粗点心战争,102.7万追番
437,轻音少女 第二季,102.3万追番
438,One Room 第二季,102.3万追番
439,桃子男孩渡海而来 正序版,102.2万追番
440,桃子男孩渡海而来,102万追番
441,魔法少女小圆 剧场版 [后篇] 永远的物语,101.9万追番
442,钢之炼金术师,100.5万追番
443,青春纪行 / 金色时光,100.5万追番
444,对魔导学园35试验小队,100.1万追番
445,Comic Girls,99.4万追番
446,龙与魔女/BURN THE WITCH,99.2万追番
447,水果篮子 (2019),99.1万追番
448,Free!-Dive to the Future-,97.9万追番
449,AIR,97.9万追番
450,凉宫春日的忧郁 2009,97.5万追番
451,22/7,97.3万追番
452,名侦探柯南（中配）,97万追番
453,超自然9人组,96.7万追番
454,吹响吧！上低音号 第二季,96.5万追番
455,同居人是猫,96.5万追番
456,好想告诉你 第一季,96.3万追番
457,神的记事本,96.1万追番
458,一个人的〇〇小日子,95.7万追番
459,王室教师海涅,95.6万追番
460,泽塔奥特曼,95.2万追番
461,逆转裁判,95万追番
462,Love Live! School Idol Project（第二季）,93.9万追番
463,赛马娘,93.5万追番
464,Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,92.7万追番
465,漂流少年,92.6万追番
466,樱花任务,92万追番
467,玛纳利亚的密友（Mysteria Friends）/巴哈姆特之怒/玛娜利亚魔法学院,91.7万追番
468,空战魔导士候补生的教官,91.6万追番
469,進擊的巨人 第二季（僅限台灣地區）,91.4万追番
470,黑子的篮球,90.4万追番
471,全职猎人,90.2万追番
472,三坪房间的侵略者！,90.1万追番
473,丹特丽安的书架,89.5万追番
474,从很久以前就喜欢你了。～告白实行委员会～,89.2万追番
475,弦音 -风舞高中弓道部-,89.1万追番
476,GJ部,88.9万追番
477,烟花,88.8万追剧
478,云之彼端，约定的地方,88.8万追番
479,巴克·亚罗/BACK ARROW,87.6万追番
480,我，要成为双马尾。,87.6万追番
481,黑执事II,87.6万追番
482,哆啦A梦：大雄的月球探险记,86.9万追剧
483,吹响吧！上低音号～誓言的终章～,86.8万追番
484,狗与剪刀的正确用法,86.6万追番
485,奇异太郎少年的妖怪绘日记,86.6万追番
486,知晓天空之蓝的人啊,86.4万追番
487,言语如苏打般涌现,86.4万追剧
488,平家物语,85.5万追番
489,重装武器,85.2万追番
490,蜡笔小新 第一季（中文）,85.2万追番
491,恶魔奶爸,85.1万追番
492,电影版 境界的彼方未来篇,84.9万追番
493,攻壳机动队,84.4万追番
494,昨日之歌,84.3万追番
495,初恋怪兽,84.3万追番
496,Caligula 卡里古拉,84.2万追番
497,奈克赛斯奥特曼,84.1万追番
498,夏目友人帐,84.1万追剧
499,排球少年！！,84万追番
500,开挂药师的奇幻世界悠闲生活,83.9万追番
501,放学后海堤日记,83.9万追番
502,龙娘七七七埋藏的宝藏,83.7万追番
503,超时空要塞Δ,83.5万追番
504,突击莉莉 BOUQUET,83.2万追番
505,幸运星,83万追番
506,魔法少女☆伊莉雅 3REI!!,83万追番
507,大神与七位伙伴,82.8万追番
508,非枪人生 第二季,82.6万追番
509,昴宿七星,82.3万追番
510,只有我能进入的隐藏地下城,82.2万追番
511,魔法少女 俺,81.9万追番
512,境界线上的地平线,81.6万追番
513,关于完全听不懂老公在说什么的事 第二季,81.6万追番
514,学生会的一己之见,81.5万追番
515,LoveLive 爱与演唱会!超级明星!!,81.4万追番
516,苍之彼方的四重奏,81.4万追番
517,影宅,80.9万追番
518,Taboo Tattoo－禁忌咒纹－,80.9万追番
519,尽管如此世界依然美丽,80.7万追番
520,晨曦公主,80.7万追番
521,花丸幼稚园,80.6万追番
522,游戏王 怪兽之决斗,80.1万追番
523,暗黑破坏神在身边。,79.7万追番
524,Fate/stay night UNLIMITED BLADE WORKS,79.6万追番
525,结城友奈是勇者 第三季 / 大满开之章,79.6万追番
526,魔弹之王与战姬,79.1万追番
527,盖亚奥特曼,78.9万追番
528,永生之酒,78.8万追番
529,我们仍未知道那天所看见的花的名字。 剧场版,78.8万追番
530,梦比优斯奥特曼,78.7万追番
531,鬼灯的冷彻 第二季 其二,78.7万追番
532,驱魔少年 HALLOW,78.4万追番
533,妖怪公寓的幽雅日常,78.2万追番
534,猎兽神兵,78.1万追番
535,雷欧奥特曼,77.5万追番
536,鲁邦三世 第六季,77.1万追番
537,笨蛋，测验，召唤兽2,76.9万追番
538,怪病医拉姆尼,76万追番
539,欧布奥特曼,75.4万追番
540,ULTRAMAN 机动奥特曼,75.4万追番
541,黑塔利亚 Axis Powers,75万追番
542,盖亚奥特曼（中配）,74.8万追番
543,干物妹！小埋 OVA,74.6万追番
544,如果她的旗帜被折断了,74.4万追番
545,捷德奥特曼,74.3万追番
546,魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～（僅限台灣地區）,74.2万追番
547,飞翔的魔女,74.2万追番
548,麦克斯奥特曼,72.8万追番
549,约会大作战 万由里裁决,72.7万追番
550,高斯奥特曼,72.6万追番
551,荒川爆笑团,72.5万追番
552,戴拿奥特曼,72.4万追番
553,艾克斯奥特曼,72.2万追番
554,白色相簿 上半篇章,72.2万追番
555,赛罗奥特曼 英雄传,72.1万追番
556,嫁给非人类,71.7万追番
557,来自深渊 深沉灵魂的黎明,71.6万追番
558,攻壳机动队 SAC_2045,71.4万追番
559,魔法禁书目录 剧场版,71.2万追番
560,戴拿奥特曼（中配）,70.8万追番
561,咱们裸熊 第一季（中配）,70.7万追番
562,皇帝圣印战记,70.6万追番
563,乌冬面之国的金色毛球,70.5万追番
564,TRICKSTER,70.2万追番
565,男子高校生活,70万追番
566,粗点心战争2,69.9万追番
567,少女☆歌剧 Revue Starlight,69.5万追番
568,泰迦奥特曼,69.5万追番
569,我的青春恋爱物语果然有问题 续 OVA,69.4万追番
570,催眠麦克风-Division Rap Battle- Rhyme Anima,69.2万追番
571,精灵宝可梦 无印,69.1万追番
572,迷糊餐厅 WORKING!!,69万追番
573,电影版 境界的彼方过去篇,68.8万追番
574,NANA,68.8万追番
575,刀使巫女,68.7万追番
576,四畳半神话大系,68.4万追番
577,欧布奥特曼 原生之初,68.4万追番
578,传说中勇者的传说,68.3万追番
579,非枪人生,68万追番
580,revisions,67.8万追番
581,罗布奥特曼,67.8万追番
582,我家浴缸的二三事,67.6万追番
583,啾咪BABY 日语版,67.3万追番
584,雷欧奥特曼（中配）,67.2万追番
585,齐木楠雄的灾难 完结篇,67.2万追番
586,吹响吧！上低音号～想要传达的旋律～,67.1万追番
587,WWW.迷糊餐厅,67万追番
588,书店里的骷髅店员本田,66.8万追番
589,剧场版 K Seven Stories,66.7万追番
590,吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,66.7万追番
591,纯白交响曲,66.6万追番
592,元气少女缘结神 新婚篇,66.6万追番
593,阿松 第三季,66.5万追番
594,穿越时空的少女,66.5万追番
595,房东青春期！,66.4万追番
596,我的青春恋爱物语果然有问题。 第一季 OVA,66.1万追番
597,犬夜叉完结篇,65.8万追番
598,温暖的印记,65.8万追番
599,天元突破红莲螺岩,65.7万追番
600,稻荷恋之歌,65.7万追番
601,心灵想要大声呼喊,65.5万追番
602,赛马娘四格,65.5万追番
603,神推偶像登上武道馆我就死而无憾,65.3万追番
604,赤发白雪姬 第二季,65万追番
605,失忆症,64.7万追番
606,环太平洋：黑色禁区,64.5万追番
607,奇诺之旅（2017）,64.4万追番
608,浪客剑心,64.2万追番
609,捷德奥特曼（中配）,64.2万追番
610,赛罗奥特曼 英雄传（中配）,64.1万追番
611,不愉快的怪物庵,64.1万追番
612,终物语 下,64万追番
613,攻壳机动队 STAND ALONE COMPLEX,63.9万追番
614,重启咲良田,63.7万追番
615,泰迦奥特曼（中配）,63.7万追番
616,欧布奥特曼（中配）,63.7万追番
617,潘朵拉之心,63.6万追番
618,罗布奥特曼（中配）,63.4万追番
619,轻羽飞扬！,63.3万追番
620,艾克斯奥特曼（中配）,63.2万追番
621,欧布奥特曼 原生之初（中配）,63.2万追番
622,架向星空之桥,63.2万追番
623,天体的秩序,62.9万追番
624,超次元游戏 海王星,62.7万追番
625,喜欢上你的那个瞬间。～告白实行委员会～,62.4万追番
626,历物语,62.3万追番
627,只要你说你爱我,62.2万追番
628,思维覆写,62.1万追番
629,Code:Realize ～创世的姬君～,62万追番
630,轻音少女 剧场版,61.9万追番
631,厨神小当家2,61.6万追番
632,星之声,61.6万追番
633,在盛夏等待,61.3万追番
634,热诚传说 第二季,61万追番
635,翼年代记 第一季,60.8万追番
636,文豪与炼金术师 ～审判的齿轮～,60.6万追番
637,目隐都市的演绎者,60.5万追番
638,黑白来看守所 第二季,60.5万追番
639,Anne Happy,60.5万追番
640,魔笛MAGI 辛巴达的冒险,60.5万追番
641,大图书馆的牧羊人,60.5万追番
642,城下町的蒲公英,60.4万追番
643,名侦探柯南：绀青之拳,60.3万追剧
644,记录的地平线 第二季,60.3万追番
645,鸦KARAS,60.1万追番
646,月歌。THE ANIMATION2,59万追番
647,高分少女 第二季,58.9万追番
648,命运石之门 负荷领域的既视感,58.9万追番
649,恶魔战线,58.8万追番
650,人马少女的烦恼,58.8万追番
651,无头骑士异闻录×2 转,58.4万追番
652,刀剑神域 Extra Edition,58.3万追番
653,八犬传 -东方八犬异闻- 第一季,58.3万追番
654,绯弹的亚里亚 AA,57.8万追番
655,W'Z,57.8万追番
656,终末的伊泽塔,57.7万追番
657,机动战士高达独角兽(UC) RE:0096,57.6万追番
